10:02:36 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:36 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:36 PM  [mysql] 	Attempting to start MySQL app...
10:02:37 PM  [mysql] 	Status change detected: running
10:02:39 PM  [Apache] 	Attempting to stop Apache (PID: 14568)
10:02:39 PM  [Apache] 	Attempting to stop Apache (PID: 19436)
10:02:39 PM  [Apache] 	Status change detected: stopped
10:02:39 PM  [mysql] 	Status change detected: stopped
10:02:39 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
10:02:39 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
10:02:39 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
10:02:39 PM  [mysql] 	Press the Logs button to view error logs and check
10:02:39 PM  [mysql] 	the Windows Event Viewer for more clues
10:02:39 PM  [mysql] 	If you need more help, copy and post this
10:02:39 PM  [mysql] 	entire log window on the forums
10:02:40 PM  [main] 	Deinitializing Modules
10:02:40 PM  [main] 	Deinitializing Control Panel

